title,url,synopsis,genre,country,year
살인의 추억,https://pedia.watcha.com/ko-KR/contents/mE5DYeW,"1986년 경기도. 젊은 여인이 무참히 강간, 살해당한 시체로 발견된다. 2개월 후 비슷한 수법의 강간살인사건이 연이어 발생하면서 사건은 세간의 주목을 받기 시작하고, 일대는 연쇄살인이라는 생소한 범죄의 공포에 휩싸인다. 사건 발생 지역에 특별수사본부가 설치되고, 수사본부는 구희봉 반장을 필두로 지역토박이 형사 박두만과 조용구, 그리고 서울 시경에서 자원해 온 서태윤이 배치된다. 육감과 폭력으로 수사를 진행하는 박형사와 증거와 과학수사를 추구하는 서형사는 수사 내내 마찰을 일으키는데...",범죄/미스터리/스릴러/드라마,한국,2003
범죄의 재구성,https://pedia.watcha.com/ko-KR/contents/m5nQDnd,"사기 전과로 출소한지 한 달, 최창혁(박신양)은 흥미로운 사기 사건을 계획한다. 그것은 바로 '꾼'들이라면 한번쯤 꿈꾸는 사상 최대 규모의 한국은행 사기극. 다섯 명의 최고 '꾼'이 한 팀을 이뤘다. 완벽한 시놉시스 개발자 최창혁(박신양)을 비롯, 사기꾼들의 대부 '김선생'(백윤식), 최고의 떠벌이 '얼매'(이문식), 타고난 여자킬러 '제비', 환상적인 위조기술자 '휘발류'. 그러나 그들은 서로를 믿지 못한다. 목표는 하나! 하지만 그들은 모두 서로 다른 속셈을 가지고 있다. 이들은 과연, 성공 할 수 있을까? 난공불락 '한국은행'이 당했다. 그러나 결과는 사라지고 없다! 한국 은행 50억 인출 성공! 그러나 결과는 없다. 모두 뿔뿔히 흩어지고, 돈은 사라졌다. 분명 헛점이 없었던 완벽한 계획. 무엇이 문제였던 것인가? 수사망이 좁혀지면서 부상당한 '얼매'가 체포되고, 도망을 다니던 '휘발류'는 도박장에서 잡힌다. '제비' 또한 빈털터리인 채 싸늘한 시체로 발견 된다. 그렇다면 이 모든 것이 아직 행방이 묘연한 '김선생'의 또 다른 사기극? 아니면 이 사기극을 계획했던 '최창혁'의 또 다른 시놉시스? 사건을 추적하던 '차반장'(천호진)과 경찰은, 한국은행 사기극의 덜미를 잡게 된 결정적 계기가 한 여자의 제보 전화라는 것을 알아낸다. 용의자로 떠오른 이는 팜므파탈 사기꾼 서인경(염정아). 김선생의 동거녀인 그녀는, 한국 은행 극에 끼지 못했지만 항상 그들의 곁을 맴돌고 있었던 것. 그럼, 그녀가 결정적인 제보자?",범죄/스릴러/코미디,한국,2004
와이키키 브라더스,https://pedia.watcha.com/ko-KR/contents/mwWLw05,"나이트클럽에서 연주하는 남성 4인조 밴드와이키키 브라더스는 불경기로 인해 한 곳에 정착하지 못한 채 출장 밴드를 전전한다. 팀의 리더 성우는 고교 졸업 후 한 번도 찾지 않았던 고향, 수안보의 와이키키 호텔에 일자리를 얻어 팀원들과 귀향한다.",드라마/음악,한국,2001
올드보이,https://pedia.watcha.com/ko-KR/contents/mY5QnJW,"오대수는 어느 날 술이 거나하게 취해 집에 돌아가는 길에 누군가에게 납치, 사설 감금방에 갇히게 된다. 중국집 군만두만을 먹으며 8평이라는 제한된 공간에서 그가 할 수 있는 일이라곤 텔레비전 보는 게 전부. 1년이 지났을 무렵, 뉴스를 통해 나오는 아내의 살해소식. 게다가 아내의 살인범으로 자신이 지목되고 있음을 알게 된 오대수는 복수와 탈출을 위해 감금방 한쪽 구석을 쇠젓가락으로 파기 시작한다. 감금 15년을 맞이하는 해, 마침내 사람 몸 하나 빠져나갈 만큼의 탈출구가 생겼을 때, 어이없게도 15년 전 납치됐던 바로 그 장소로 풀려나 있는 자신을 발견하게 된다.",드라마/범죄/미스터리/스릴러,한국,2003
죽거나 혹은 나쁘거나,https://pedia.watcha.com/ko-KR/contents/mMO29NW,"'패싸움' 공고 졸업생인 석환(류승완)과 성빈(박성빈)은 당구장에서 예고생들과 시비가 붙는다. 당구장 문이 잠기고 시작된 패싸움! 친구들의 싸움을 말리던 성빈이 실수로 예고생 현수를 살해하고 만다. '악몽' 살인죄로 7년간 감옥에 있던 성빈이 출소했다. 하지만 사회와 가족, 친구의 냉대 속에 현수의 악령만이 매일 밤 찾아와 악몽 같은 나날을 보내던 중 우연히 폭력조직의 중간보스 태훈(배중식)을 구하게 되면서 앞으로 주먹을 쓰며 살기로 결�심한다. '현대인' 폭력 조직의 중간보스 태훈 VS 강력계 형사 석환. 지하주차장에서 마주친 두 사람은 서로의 목숨을 걸고 죽기살기로 싸운다. 결국 태훈의 손목에 수갑을 채우는 석환! 하지만 거기서 끝난게 아니었다… '죽거나 혹은 나쁘거나' 야간고등학교를 그만두고 조폭이 되고자 형 몰래 성빈의 수하가 된 상환(류승범). 폭력배들끼리의 싸움이 벌어지던 날, 자신이 희생양이 된지도 모른 채 앞서 달려간다. 뒤늦게 소식을 듣고 동생을 찾기 위해 한달음에 달려간 석환은 성빈과 둘 만의 전쟁을 시작하는데…",액션/드라마/범죄,한국,2000
복수는 나의 것,https://pedia.watcha.com/ko-KR/contents/mJOVAYW,선천성 청각 장애인 류에게 누나는 유일한 가족이다. 신부전증을 앓고 있는 누나는 병이 악화되어 신장을 이식하지 않으면 얼마 살 수 없다는 진단을 받는다. 누나와 혈액형이 달라 이식 수술이 좌절된 류는 장기밀매단과 접촉해 자신의 신장과 전재산 천 만원을 넘겨주고 누나를 위한 신장을 받기로 하지만 모든 것이 사기로 드러난다. 누나에게 맞는 신장을 찾기 위해 돈이 필요한 류는 애인이자 운동권 학생인 영미의 말에 아이를 유괴한다. 착한 유괴라고 류를 설득해 동진의 딸을 유괴하지만 이 사실을 알게 된 류의 누이는 스스로 목숨을 끊고 우연한 사건으로 아이마저 죽게 되는데...,범죄/스릴러,한국,2002
파이란,https://pedia.watcha.com/ko-KR/contents/m1d6PYW,"[2025 문화다양성 주간 / 가수 이상순] 중국 이주 여성을 통해 본 한국사회의 어두운 현실입니다. 하지만 그곳에서도 여전히 인간애를 찾아볼 수 있는 따뜻한 메시지를 전하는 작품이죠. 어디에서도 인정받지 못하는 삼류 건달 `강재`는 막장 인생의 마지막 찬스로 평생 꿈인 배 한 척을 살 돈을 받고 보스 대신 감옥에 가기로 한다. 자수를 준비하던 그에게 뜬금없이 아내의 부고 소식이 전해지는데 그녀의 이름은 `파이란`. 돈 몇 푼 받고 위장 결혼을 해준 중국 여인이었다. 얼굴도 기억나지 않는 그녀의 마지막을 배웅하러 가는 길. 너무 늦게 전해진 `파이란`의 편지에는 `강재`에 대한 고마움과 그리움, 그리고 사랑이 적혀있다. `모두 친절하지만 강재 씨가 가장 친절합니다. 잊어버리지 않도록 보고 있는 사이에 강재 씨를 좋아하게 됐습니다. 당신의 아내로 죽는다는 것 괜찮습니까?` 세상은 날 삼류라 하고 이 여자는 날 사랑이라 한다",드라마/로맨스,한국,2001
황해,https://pedia.watcha.com/ko-KR/contents/m5awavO,"황해를 건너 온 남자, 모두가 그를 쫓는다! 연변에서 택시를 운전하며 구질구질한 일상을 살아가는 구남. 한국으로 돈 벌러 간 아내는 6개월째 소식이 없고, 돈을 불리기 위해 마작판에 드나들지만 항상 잃을 뿐이다. 그러던 어느 날, 살인청부업자 면가에게서 한국에 가서 누군가를 죽이고 오라는 제안을 받게 된 구남은 빚을 갚기 위해, 그리고 아내를 만나기 위해 황해를 건너는데… 매서운 바다를 건너 서울로 온 구남은 살인 기회를 노리는 동시에 아내의 행방을 수소문한다. 하지만 목표물은 구남의 눈앞에서 살해 당하고, 구남은 현장에서 도주하지만 살인자 누명을 쓴 채 경찰에 쫓기게 된다. 이에 청부살인을 의뢰했던 태원은 증거 인멸을 위해 구남을 없애려 하고, 연변에 있던 면가 또한 황해를 건너와 구남을 쫓기 시작하는데… 지독한 놈들에게서 벗어나기 위한, 절박한 사투가 시작된다!",스릴러/액션/범죄,한국,2010
수취인불명,https://pedia.watcha.com/ko-KR/contents/mP5m6zW,"1970년대 말, 미군부대가 주둔하고 있는 한 마을 입구의 버스에는 양공주였던 창국 엄마가 혼혈 아들 창국과 단 둘이 살면서 미국에 간 흑인 남편에게 끊임없이 편지를 쓴다. 그러나 편지는 늘 '수취인불명' 도장이 찍혀서 돌아온다. 개장수 개눈은 창국 엄마에 대한 연정으로 그들 모자를 돌본다. 창국은 '혼혈아'라는 이유로 사람들에게 따돌림을 받아 개눈 밑에서 개를 잡으며 생활한다. 어렸을 때 다친 눈 때문에 폐쇄적인 성격인 은옥은 화방에서 일하는 지흠의 사랑을 받아들이지 못하고 눈을 고쳐주겠다는 미군 제임스에게 몸을 준다. 개눈은 자기 어머니에게 폭력을 행사하는 창국에게 가혹하게 대하는데...",드라마,한국,2001
태백산맥,https://pedia.watcha.com/ko-KR/contents/m5eJ8ZW,"해방 후, 좌익과 우익의 대립이 심화되는 상황에서 48년 10월 여순 사건이 터진다. 전라남도 보성군 당 위원장인염상진을 필두로 한 좌익들은 벌교를 장악하고 인민 재판을 열러 반동 분자를 숙청하기에 이른다. 하지만 반란군 주력이 크게 패하는 바람에 결국은 조계산으로 후퇴하고 만다. 벌교로 돌아 온 우익세력들은 좌익 세력과 그의 가족들을 연행하여 조사하고 대동청년단 감찰부장인 염상구는 형에 대한 증오로 가�득 차 이 일에 앞장선다. 수도경찰의 주도로 손가락 재판이 벌어 지면서 무고한 희생자가 발생하는 가운데, 염상구는 빨치산인 강동식의 아내를 겁탈하고 반란 때 처형된 유지의 자식들은 ‘멸공단’이라는 조직을 만들어 좌익 가족에 대한 테러를 자행한다. 한편, 전라남도 도당 직속의 정하섭이 무당 소화의 집에 잠입하게 되면서 둘 사이에는 신분을 뛰어넘는 사랑이 싹트게 된다. 민족주의자인 교사 김범우는 벌교 내에서 벌어진 좌익과 우익의 잔인하고 폭력적인 행위를 비판하며 막아보려고 하지만 빨갱이로 몰리게 되어 멸공단에게 테러를 당한다. 산속 깊숙이 자리잡은 빨치산을 토벌하기 위해 심재모가 이끄는 계엄군이 벌교에 도착하고, 벌교에 남은 좌익 가족들의 생활은 비참하기 그지 없다. 이렇게 어지러운 상황 속에서 설상가상으로 드디어 전쟁이 터졌다는 소식이 들려 오는데…",전쟁/드라마,한국,1994
마지막 푸른빛,https://pedia.watcha.com/ko-KR/contents/mdMRb82,"근미래의 브라질을 배경으로 노인을 사회에서 배제하려는 국가 정책에 저항하는 한 여성의 여정을 그린 디스토피아 로드무비다. 77세의 테레사는 ‘은퇴 구역’으로 이송되기 직전 자유를 찾아 탈출을 감행한다. 영화는 국가의 제도와 억압에서 벗어나 자기의 의지로 나아가려는 노인의 험난한 여정을 통해 나이가 들어도 변하지 않는 자유와 존엄의 가치를 섬세하게 담아낸다. 4:3 화면비는 테레사의 상황과 내면을 효과적으로 담아내고, 푸른 달팽이의 환각 장면은 그녀의 복잡한 내면을 시각화하는 한편, 로베르타와의 연대는 <델마와 루이스>를 연상시키는 해방의 정서를 만들어낸다. 정치 사회적 은유와 감각적 스타일을 결합하여 ‘늙는다는 것’과 삶의 의미를 탐구한 아름답고 유쾌한 반란의 영화로, 올해 베를린영화제 심사위원대�상 수상작이다. (조지훈) [제30회 부산국제영화제]",모험/판타지/SF,"브라질, 멕시코, 네덜란드, 칠레",2025
여행자의 필요,https://pedia.watcha.com/ko-KR/contents/mO07KQL,"어디서 온지 모르는 이 사람은 불란서에서 왔다고 하고, 어린애 피리를 근린공원에서 열심히 불고 있었습니다. 돈도 없고 어떻게 살지 몰라해 불어를 가르쳐보라 권했고, 그렇게 두 명의 한국여자들에게 선생이 되었습니다. 땅에 맨발로 걷는 것을 좋아하고, 돌에 누워있는 걸 좋아하고, 힘이 되는 때 순간 순간을 비언어적으로 바라보려하고, 최대한 사실에 근거한 삶을 살려고 애씁니다. 그래도 사는 건 변함없이 고되고, 매일 막걸리에 의존하며 조금의 편안함을 얻습니다. 홍상수 감독의 31번째 영화 <여행자의 필요>는 제목 그대로 여행자의 걸음 속에서 비언어적인 순간들을 경유한다. 불란서에서 왔다는 이리스(이자벨 위페르)는 서울을 돌아다니며 프랑스어를 가르친다. 그렇지 않을 땐 동산이나 공원에 머물며 사람들을 만나기도 한다. 땅에 맨발로 걷는 것을 좋아하고, 돌에 누워 있는 것도 좋아하고, 무엇보다 막걸리를 좋아한다. 홍상수 감독의 전작들과 마찬가지로 설명이 필요한 순간 비워내는 이 영화는 마치 시의 리듬, 운율처럼 반복과 변주 속에서 공명하는 순간들을 차분히 담아낸다. 여행자에게 필요한 것이 무엇인지 궁금한 마음으로 이리스의 걸음에 보폭을 맞추다 보면, 어느새 여행자가 가져온 낯선 시선과 생경한 공기가 우리 삶에 왜 필요한지 실감 중인 자신을 발견할 것이다. (송경원) [제29회 부산국제영화제] [제13회 디아스포라영화제]",드라마,한국,2024
어파이어,https://pedia.watcha.com/ko-KR/contents/mW42YRX,집필을 마무리 하기 위해 '펠릭스'와 함께 발트해 인근 별장으로 간 '레온'을 다룬 영화,코미디/드라마/로맨스,독일,2023
소설가의 영화,https://pedia.watcha.com/ko-KR/contents/mOVPBrz,"여소설가가 잠적한 후배의 책방으로 먼 길을 찾아옵니다. 그리고 혼자 타워를 오르고 영화감독 부부를 만나고 공원을 산책하다 여배우를 만나게 되고, 여배우에게 당신과 영화를 만들고 싶다 설득을 합니다. 둘이 분식집에서 뭘 먹고, 다시 찾게 되는 후배의 책방에서 술자리가 깊어지고 여배우는 취해 잠이 드는데…",드라마,한국,2021
우연과 상상,https://pedia.watcha.com/ko-KR/contents/mWJXLgQ,"“마법보다 더 불확실한 걸 믿어볼 생각 있어?” ‘메이코’는 집으로 돌아가는 택시 안에서 친구에게 새로운 연애 상대 이야기를 듣는다. 여대생 ‘나오’는 교수 앞에서 그가 쓴 소설의 일부를 낭독한다. 20년 만에 고향을 찾은 ‘나츠코’는 그토록 만나고 싶던 동창생과 재회한다. 우연이 만들어내는, 조용히 아주 크게 움직이는 인생의 순간들이 있다. 이 영화는 그에 대한 상상의 결과물이다.",드라마/로맨스,일본,2021
"전혀아니다,별로아니다,가끔그렇다,항상그렇다",https://pedia.watcha.com/ko-KR/contents/mW9p2xK,펜실베니아 시골에 사는 어텀은 의도하지 않은 임신을 하게 되어 사촌 스카이라와 함께 의학적 도움을 구하기 위해 뉴욕으로 떠나게 된다.,드라마,"미국, 영국",2020
신의 은총으로,https://pedia.watcha.com/ko-KR/contents/m5ewMl9,“신의 은총으로 공소시효가 지났습니다.” 행복한 가정을 꾸린 알렉상드르는 유년시절 자신에게 성적 학대를 저지른 프레나 신부가 여전히 아이들을 가르치고 있다는 소식에 큰 충격을 받는다. 알렉상드르와 같은 피해를 입은 프랑수아와 에마뉘엘은 더 이상의 고통을 막기 위해 ‘라 프롤 리베레(해방된 목소리)’라는 단체를 결성하고 교회에 프레나 신부의 파면을 요구한다. 하지만 교회는 공소시효를 내세우며 범죄를 은폐하려하는데…,드라마,"프랑스, 벨기에",2018
얼굴,https://pedia.watcha.com/ko-KR/contents/mOo0wgL,"야첵은 헤비메탈, 여자친구, 자신의 애완견을 사랑하는 남자다. 그는 세계에서 가장 큰 예수상의 건설현장에서 일하고 있다. 그가 심각한 사고로 얼굴 외관을 잃자, 여자친구는 떠나고 사람들은 그를 멀리한다. 그는 다시 그의 삶을 되돌리고 싶다. [제23회 부산국제영화제]",코미디/드라마,폴란드,2018
펠리시테,https://pedia.watcha.com/ko-KR/contents/m5Y6QXl,클럽 가수 펠리시테는 열네 살 아들의 수술비를 위해 꿈과 음악이 혼재된 킨샤사 거리를 정신없이 다니던 중 클럽의 단골손님 타부를 만난다. [제18회 전주국제영화제],드라마/음악,"프랑스, 벨기에, 세네갈, 독일, 레바논, 콩고 민주 공화국",2017
사라예보의 죽음,https://pedia.watcha.com/ko-KR/contents/m5Y6xPQ,"20세기 유럽 분쟁사의 중심 사라예보. EU 주최의 만찬을 앞둔 날, 재정 위기에 빠져 파업을 목전에 둔 호텔 유럽은 자본, 정치, 계급, 인종 등 유럽사회 이념갈등이 한데 모인 알레고리적 공간이 된다. <노 맨스 랜드>의 다니스 타노비치가 해부하는 현대유럽정치사의 또 다른 얼굴. (2016년 제21회 부산국제영화제)",드라마,"프랑스, 보스니아 헤르체고비나",2016
